title,category,price_gbp,rating,availability,stock,upc,product_url
Wall and Piece,Art,44.18,4,In stock,18,ccd9ffa25efabdea,https://books.toscrape.com/catalogue/wall-and-piece_971/index.html
The Dirty Little Secrets of Getting Your Dream Job,Business,33.34,4,In stock,19,2597b5a345f45e1b,https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html
Birdsong: A Story in Pictures,Childrens,54.64,3,In stock,19,9528d0948525bf5f,https://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html
The Bear and the Piano,Childrens,36.89,1,In stock,18,9f6568e9c95f60b0,https://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html
Aladdin and His Wonderful Lamp,Default,53.13,3,In stock,19,904208d6aa64b655,https://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html
Penny Maybe,Default,33.29,3,In stock,18,668fe56b17cfcd4f,https://books.toscrape.com/catalogue/penny-maybe_965/index.html
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Default,22.6,4,In stock,19,e10e1e165dc8be4a,https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Default,22.5,3,In stock,19,c7d160c2c0de586f,https://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html
Maude (1883-1993):She Grew Up with the country,Default,18.02,2,In stock,18,094b269567e1c300,https://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Default,17.93,3,In stock,19,e72a5dfc7e9267b2,https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html
"Starving Hearts (Triangular Trade Trilogy, #1)",Default,13.99,2,In stock,19,0312262ecafa5a40,https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html
Soumission,Fiction,50.1,1,In stock,20,6957f44c3847a760,https://books.toscrape.com/catalogue/soumission_998/index.html
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Food and Drink,30.52,3,In stock,19,5674a18a29a43ced,https://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html
Tipping the Velvet,Historical Fiction,53.74,1,In stock,20,90fa61229261140a,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html
Sapiens: A Brief History of Humankind,History,54.23,5,In stock,20,4165285e1663650f,https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Music,57.25,3,In stock,19,deda3e61b9514b83,https://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html
How Music Works,Music,37.32,2,In stock,19,327f68a59745c102,https://books.toscrape.com/catalogue/how-music-works_979/index.html
Rip it Up and Start Again,Music,35.02,5,In stock,19,a34ba96d4081e6a4,https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html
Sharp Objects,Mystery,47.82,4,In stock,20,e00eb4fd7b871a48,https://books.toscrape.com/catalogue/sharp-objects_997/index.html
"In a Dark, Dark Wood",Mystery,19.63,1,In stock,18,19ed25f4641d5efd,https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,Nonfiction,40.3,5,In stock,18,4c28def39d850cdf,https://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Nonfiction,31.05,3,In stock,18,3c039985229453bf,https://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html
Sophie's World,Philosophy,15.94,5,In stock,18,6be3beb0793a53e7,https://books.toscrape.com/catalogue/sophies-world_966/index.html
The Black Maria,Poetry,52.15,1,In stock,19,1dfe412b8ac00530,https://books.toscrape.com/catalogue/the-black-maria_991/index.html
A Light in the Attic,Poetry,51.77,3,In stock,22,a897fe39b1053632,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
You can't bury them all: Poems,Poetry,33.63,2,In stock,17,55f9da0c5eea2e10,https://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html
Olio,Poetry,23.88,1,In stock,19,feb7cc7701ecf901,https://books.toscrape.com/catalogue/olio_984/index.html
Shakespeare's Sonnets,Poetry,20.66,4,In stock,19,30a7f60cd76ca58c,https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html
Libertarianism for Beginners,Politics,51.33,2,In stock,19,a18a4f574854aced,https://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html
Black Dust,Romance,34.53,5,In stock,19,00bfed9e18bb36f3,https://books.toscrape.com/catalogue/black-dust_976/index.html
Chase Me (Paris Nights #2),Romance,25.27,5,In stock,19,c2e46a2ee3b4a322,https://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html
Mesaerion: The Best Science Fiction Stories 1800-1849,Science Fiction,37.59,1,In stock,19,e30f54cea9b38190,https://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Sequential Art,52.29,5,In stock,19,3b1c02bac2a429e6,https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html
The Four Agreements: A Practical Guide to Personal Freedom,Spirituality,17.66,5,In stock,18,6258a1f6a6dcfe50,https://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html
Behind Closed Doors,Thriller,52.22,4,In stock,18,be5cc846f45496fb,https://books.toscrape.com/catalogue/behind-closed-doors_962/index.html
The Elephant Tree,Thriller,23.82,5,In stock,18,5dada2b7be26bd03,https://books.toscrape.com/catalogue/the-elephant-tree_968/index.html
In Her Wake,Thriller,12.84,1,In stock,19,23356462d1320d61,https://books.toscrape.com/catalogue/in-her-wake_980/index.html
It's Only the Himalayas,Travel,45.17,2,In stock,19,a22124811bfa8350,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html
The Requiem Red,Young Adult,22.65,1,In stock,19,f77dbf2323deb740,https://books.toscrape.com/catalogue/the-requiem-red_995/index.html
Set Me Free,Young Adult,17.46,5,In stock,19,ce6396b0f23f6ecc,https://books.toscrape.com/catalogue/set-me-free_988/index.html
